date,hour,positive_imb,negative_imb,net_imb
2021-08-01,0,362.36,-3403.94,-3041.58
2021-08-01,1,156.16,-2225,-2068.84
2021-08-01,2,158.48,-1696.05,-1537.57
2021-08-01,3,191.84,-1564.14,-1372.3
2021-08-01,4,621.1,-1015.84,-394.74
2021-08-01,5,361.67,-1998.42,-1636.75
2021-08-01,6,1124.19,-1561.44,-437.25
2021-08-01,7,657.25,-648.67,8.58000000000004
2021-08-01,8,946.92,-889.15,57.77
2021-08-01,9,821.5,-1361.81,-540.31
2021-08-01,10,1331.59,-1239.56,92.03
2021-08-01,11,1232.93,-1282.82,-49.8899999999999
2021-08-01,12,1045.81,-1084.41,-38.6000000000001
2021-08-01,13,915.5,-1135.3,-219.8
2021-08-01,14,898.6,-1617.56,-718.96
2021-08-01,15,1109.4,-1809.03,-699.63
2021-08-01,16,1041.69,-1691.55,-649.86
2021-08-01,17,1107.31,-1651.72,-544.41
2021-08-01,18,710.67,-1675.95,-965.28
2021-08-01,19,455.6,-1433.62,-978.02
2021-08-01,20,280.5,-2487.2,-2206.7
2021-08-01,21,422.88,-2553.3,-2130.42
2021-08-01,22,224.2,-1977.88,-1753.68
2021-08-01,23,269.52,-1428.48,-1158.96
2021-08-02,0,203,-1798.48,-1595.48
2021-08-02,1,426.19,-1465.17,-1038.98
2021-08-02,2,397.4,-1163.15,-765.75
2021-08-02,3,744.55,-872.48,-127.93
2021-08-02,4,479.77,-723.41,-243.64
2021-08-02,5,594.6,-1362.28,-767.68
2021-08-02,6,355.61,-1138.19,-782.58
2021-08-02,7,324.55,-1206.39,-881.84
2021-08-02,8,881.44,-2011.92,-1130.48
2021-08-02,9,2824.93,-3138.04,-313.11
2021-08-02,10,2319.73,-2811.35,-491.62
2021-08-02,11,1497.76,-3175.61,-1677.85
2021-08-02,12,717.52,-4839.6,-4122.08
2021-08-02,13,202.77,-5704.62,-5501.85
2021-08-02,14,59.66,-7362.15,-7302.49
2021-08-02,15,62.91,-7780.52,-7717.61
2021-08-02,16,75.48,-8118.19,-8042.71
2021-08-02,17,82.28,-7758.51,-7676.23
2021-08-02,18,124.22,-7273.36,-7149.14
2021-08-02,19,231.21,-6994.06,-6762.85
2021-08-02,20,163.55,-7354.68,-7191.13
2021-08-02,21,286.07,-6994.34,-6708.27
2021-08-02,22,402.98,-5817.78,-5414.8
2021-08-02,23,446.51,-4866.74,-4420.23
2021-08-03,0,262.03,-3724.16,-3462.13
2021-08-03,1,146.29,-2532.2,-2385.91
2021-08-03,2,158.66,-1341.28,-1182.62
2021-08-03,3,167.57,-1177.77,-1010.2
2021-08-03,4,336.71,-1296.65,-959.94
2021-08-03,5,174.3,-979.09,-804.79
2021-08-03,6,446.54,-978.91,-532.37
2021-08-03,7,322.21,-862.63,-540.42
2021-08-03,8,376.52,-3345.96,-2969.44
2021-08-03,9,310.92,-5919.42,-5608.5
2021-08-03,10,328.05,-6918.08,-6590.03
2021-08-03,11,176.29,-7014.02,-6837.73
2021-08-03,12,236.61,-6241.01,-6004.4
2021-08-03,13,224.92,-7098.61,-6873.69
2021-08-03,14,479.57,-8085.64,-7606.07
2021-08-03,15,263.11,-8001.12,-7738.01
2021-08-03,16,262.5,-7629.57,-7367.07
2021-08-03,17,265.56,-7032.88,-6767.32
2021-08-03,18,412.65,-5615.26,-5202.61
2021-08-03,19,495.83,-4773.79,-4277.96
2021-08-03,20,492.17,-5562.43,-5070.26
2021-08-03,21,610.14,-5204.95,-4594.81
2021-08-03,22,507.65,-4006.09,-3498.44
2021-08-03,23,589.99,-3188.31,-2598.32
2021-08-04,0,231.75,-2607.07,-2375.32
2021-08-04,1,203.31,-1873.42,-1670.11
2021-08-04,2,166.5,-1178.97,-1012.47
2021-08-04,3,211.06,-1031.39,-820.33
2021-08-04,4,449.91,-1281.62,-831.71
2021-08-04,5,332.43,-1290.4,-957.97
2021-08-04,6,356.53,-998.13,-641.6
2021-08-04,7,372.04,-1061.47,-689.43
2021-08-04,8,310.41,-3762.86,-3452.45
2021-08-04,9,228.89,-6405.45,-6176.56
2021-08-04,10,277.67,-7664.51,-7386.84
2021-08-04,11,148.5,-8049.72,-7901.22
2021-08-04,12,190.48,-6424.85,-6234.37
2021-08-04,13,154.49,-7496.66,-7342.17
2021-08-04,14,140.41,-8093.08,-7952.67
2021-08-04,15,129.04,-8527.61,-8398.57
2021-08-04,16,142.84,-8489.44,-8346.6
2021-08-04,17,236.17,-8585.18,-8349.01
2021-08-04,18,187.69,-7114.15,-6926.46
2021-08-04,19,173.75,-6588.97,-6415.22
2021-08-04,20,249.94,-7306.87,-7056.93
2021-08-04,21,276.25,-7147.66,-6871.41
2021-08-04,22,268.11,-6547.12,-6279.01
2021-08-04,23,189.53,-5403.31,-5213.78
2021-08-05,0,207.83,-4836.55,-4628.72
2021-08-05,1,262.68,-3724.16,-3461.48
2021-08-05,2,265.65,-2573.49,-2307.84
2021-08-05,3,333.39,-1636.88,-1303.49
2021-08-05,4,328.89,-1285.68,-956.79
2021-08-05,5,426,-1051.73,-625.73
2021-08-05,6,1408.22,-832.59,575.63
2021-08-05,7,954.54,-1204.63,-250.09
2021-08-05,8,716.41,-4060.42,-3344.01
2021-08-05,9,245.03,-6355.69,-6110.66
2021-08-05,10,200.39,-7630.36,-7429.97
2021-08-05,11,220.28,-8455.34,-8235.06
2021-08-05,12,271.95,-7307.66,-7035.71
2021-08-05,13,229.51,-8259.12,-8029.61
2021-08-05,14,432.65,-9552.91,-9120.26
2021-08-05,15,580.18,-9913.73,-9333.55
2021-08-05,16,597.97,-10039.4,-9441.43
2021-08-05,17,741.04,-9700.14,-8959.1
2021-08-05,18,666.97,-8609.72,-7942.75
2021-08-05,19,613.96,-8142.67,-7528.71
2021-08-05,20,418.73,-9076.96,-8658.23
2021-08-05,21,260.38,-8614.45,-8354.07
2021-08-05,22,299.26,-7517.19,-7217.93
2021-08-05,23,242.91,-6109.06,-5866.15
2021-08-06,0,200.27,-6208.3,-6008.03
2021-08-06,1,154.86,-5101.48,-4946.62
2021-08-06,2,185.22,-4103.72,-3918.5
2021-08-06,3,222.07,-3465.93,-3243.86
2021-08-06,4,359.83,-2955.15,-2595.32
2021-08-06,5,470.11,-1823.84,-1353.73
2021-08-06,6,792.29,-1309.96,-517.67
2021-08-06,7,573.01,-1439.64,-866.63
2021-08-06,8,369.75,-4620.38,-4250.63
2021-08-06,9,355.47,-7524,-7168.53
2021-08-06,10,374.43,-9054.79,-8680.36
2021-08-06,11,450.64,-9089.71,-8639.07
2021-08-06,12,444.78,-8517.17,-8072.39
2021-08-06,13,788.39,-9504.4,-8716.01
2021-08-06,14,1238.1,-11038.99,-9800.89
2021-08-06,15,1550.6,-11175.83,-9625.23
2021-08-06,16,1010.85,-10587.96,-9577.11
2021-08-06,17,735.44,-9812.57,-9077.13
2021-08-06,18,540.31,-8172.9,-7632.59
2021-08-06,19,553.09,-7689.93,-7136.84
2021-08-06,20,668.89,-7919.53,-7250.64
2021-08-06,21,562.34,-7511.6,-6949.26
2021-08-06,22,364.43,-5924.89,-5560.46
2021-08-06,23,379.18,-3892.34,-3513.16
2021-08-07,0,345.15,-3048.31,-2703.16
2021-08-07,1,452,-2678.8,-2226.8
2021-08-07,2,489.57,-2029.85,-1540.28
2021-08-07,3,566.79,-1133.07,-566.28
2021-08-07,4,1004.56,-532.52,472.04
2021-08-07,5,1457.18,-411.97,1045.21
2021-08-07,6,1859.2,-315.37,1543.83
2021-08-07,7,1392.96,-247.02,1145.94
2021-08-07,8,1613.79,-1191.9,421.89
2021-08-07,9,759.13,-1617.72,-858.59
2021-08-07,10,759.53,-2215.27,-1455.74
2021-08-07,11,1030.52,-2540.49,-1509.97
2021-08-07,12,1568.13,-2261.18,-693.05
2021-08-07,13,1252.72,-1615.02,-362.3
2021-08-07,14,1932.37,-2318.85,-386.48
2021-08-07,15,2343.51,-2132.24,211.27
2021-08-07,16,2302.74,-1019.62,1283.12
2021-08-07,17,2464.11,-1299.82,1164.29
2021-08-07,18,2420.57,-827.85,1592.72
2021-08-07,19,2425.74,-1006.58,1419.16
2021-08-07,20,1506.11,-1549.54,-43.4300000000001
2021-08-07,21,1763.72,-2242.98,-479.26
2021-08-07,22,1887.79,-2167.11,-279.32
2021-08-07,23,2415.74,-1141.96,1273.78
2021-08-08,0,2728.9,-486.74,2242.16
2021-08-08,1,2861.61,-522.46,2339.15
2021-08-08,2,2827.95,-597.63,2230.32
2021-08-08,3,3078.33,-490.52,2587.81
2021-08-08,4,3013.91,-470.48,2543.43
2021-08-08,5,2938.58,-561.51,2377.07
2021-08-08,6,3170.77,-872.3,2298.47
2021-08-08,7,3052.19,-985.59,2066.6
2021-08-08,8,3339.11,-997.71,2341.4
2021-08-08,9,3576.36,-725.33,2851.03
2021-08-08,10,3392.07,-691.19,2700.88
2021-08-08,11,3706.32,-703.15,3003.17
2021-08-08,12,3552.9,-1017.44,2535.46
2021-08-08,13,3320.16,-692.11,2628.05
2021-08-08,14,3083.03,-743.94,2339.09
2021-08-08,15,2786.28,-363.51,2422.77
2021-08-08,16,2717.57,-515.6,2201.97
2021-08-08,17,2822.05,-453.19,2368.86
2021-08-08,18,2508.93,-595.13,1913.8
2021-08-08,19,1874.38,-877.06,997.32
2021-08-08,20,1073.45,-905.91,167.54
2021-08-08,21,1349.41,-618.73,730.68
2021-08-08,22,1422.81,-199.5,1223.31
2021-08-08,23,1703.07,-239.78,1463.29
2021-08-09,0,1944.27,-137.49,1806.78
2021-08-09,1,1646.9,-390.62,1256.28
2021-08-09,2,1523.68,-440.55,1083.13
2021-08-09,3,1297.42,-656.47,640.95
2021-08-09,4,1026.07,-1575.66,-549.59
2021-08-09,5,1151.62,-1233.92,-82.3000000000002
2021-08-09,6,1527.52,-545.38,982.14
2021-08-09,7,1398.36,-736.69,661.67
2021-08-09,8,1239.35,-856.86,382.49
2021-08-09,9,907.85,-920.06,-12.2099999999999
2021-08-09,10,786.54,-1715.28,-928.74
2021-08-09,11,778.94,-2951.96,-2173.02
2021-08-09,12,932.57,-1778.71,-846.14
2021-08-09,13,787.97,-2252.06,-1464.09
2021-08-09,14,632.04,-3070.08,-2438.04
2021-08-09,15,642.72,-3069.5,-2426.78
2021-08-09,16,558.67,-3109.07,-2550.4
2021-08-09,17,496.22,-3084.18,-2587.96
2021-08-09,18,631.11,-2037.4,-1406.29
2021-08-09,19,531.85,-1667.09,-1135.24
2021-08-09,20,582.74,-2440.94,-1858.2
2021-08-09,21,866.9,-1633.56,-766.66
2021-08-09,22,727.46,-912.35,-184.89
2021-08-09,23,1495.46,-656.67,838.79
2021-08-10,0,951.73,-416.28,535.45
2021-08-10,1,1247.57,-696.85,550.72
2021-08-10,2,1102.43,-805.41,297.02
2021-08-10,3,1015.31,-963.89,51.42
2021-08-10,4,976.61,-929.72,46.89
2021-08-10,5,982.38,-910.76,71.62
2021-08-10,6,1097.81,-800.03,297.78
2021-08-10,7,967.52,-687.35,280.17
2021-08-10,8,868.69,-532.57,336.12
2021-08-10,9,484.21,-1611.31,-1127.1
2021-08-10,10,699.88,-2546.77,-1846.89
2021-08-10,11,840.41,-3195.25,-2354.84
2021-08-10,12,801.97,-2380.53,-1578.56
2021-08-10,13,805.35,-2433.96,-1628.61
2021-08-10,14,847.59,-3028.75,-2181.16
2021-08-10,15,800.49,-3067.21,-2266.72
2021-08-10,16,777.27,-3045.26,-2267.99
2021-08-10,17,571.17,-2993.82,-2422.65
2021-08-10,18,720.43,-2479.2,-1758.77
2021-08-10,19,565.73,-2163.66,-1597.93
2021-08-10,20,463.33,-3154.81,-2691.48
2021-08-10,21,433.13,-2451.39,-2018.26
2021-08-10,22,492.2,-1718.58,-1226.38
